Kalavathi Surgical Hospital & Laparoscopic Centre
Rich Hospitals(Ravi Institute of child Health (P) Ltd)
Bollineni Superspeciality Hospital
Remedy Hospitals (Albha Health care pvt ltd)
Dristi Eye Centre
Meena Hospital
Vijaya Health Care
Pushpagiri Vitreo retina Institute
Sai Prakash Hospital
Tanvi Eye center
Care Hospital
Charisthasri Hospitals Ltd
Citi Cardiac Research Centre Limited
Saumya Hospitals
Vijayawada Institute of Neuro Sciences (P) Ltd
Nagarjuna Hospitals Ltd
Vijetha Hospitals
Mother and Child Hospital and Family Hospital
Usha Cardiac Care Ltd
Sridevi Eye Hospital
Global Medical Centre
Help Hospitals (P) Ltd
Andhra Hospitals
M V S Accident Hospital
Sridevi Eye Hospital
Arun Kidney centre
Harini Gastro and Liver centre
Nori Mother & child Hospital
Vijay Orthopaedic & accidnent care
Meenakshi Eye Hospital
Trust Hospital
Chaitanya Eye Hospital
RSR Hospital
Vijaya Krishna Hospital (P) Ltd
Soumya Multi Speciality Hospitals
Madhava Nursing Home
Yashoda Hospital
B B R Multi Speciality Hospital
Meena Hospital
Secunderabd Nursing Home
Sigma Hospitals
Shreyas Multi Speciality Hospitals
Sindhuja Multi Speciality Nursing Home
Mamatha Hospital
Sowmya Hospital
Praanadah hospital
Wockhardt heart centre
Bhavya Multispeciality hospital
City cancer centre
Singari ENT Hospital & Research centre
Sagar Hospital
